,JPY=X,JPY=X,JPY=X,JPY=X,JPY=X,JPY=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,EURUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X,GBPUSD=X
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2021-04-01,110.73799896240234,110.84500122070312,110.56300354003906,110.75,110.75,0,1.1728966236114502,1.1775789260864258,1.1714814901351929,1.1728830337524414,1.1728830337524414,0,1.3788729906082153,1.3837000131607056,1.3749295473098755,1.3786258697509766,1.3786258697509766,0
2021-04-02,110.62000274658203,110.74400329589844,110.38200378417969,110.61299896240234,110.61299896240234,0,1.177773118019104,1.1787004470825195,1.1751433610916138,1.177994966506958,1.177994966506958,0,1.383508563041687,1.3854252099990845,1.3814444541931152,1.383508563041687,1.383508563041687,0
2021-04-05,110.66999816894531,110.71199798583984,109.95700073242188,110.677001953125,110.677001953125,0,1.1766366958618164,1.1816140413284302,1.1739431619644165,1.176816701889038,1.176816701889038,0,1.3829728364944458,1.3913817405700684,1.381425380706787,1.383125901222229,1.383125901222229,0
2021-04-06,110.19400024414062,110.5479965209961,109.68900299072266,110.19300079345703,110.19300079345703,0,1.181907296180725,1.1855363845825195,1.1796486377716064,1.1818934679031372,1.1818934679031372,0,1.3913236856460571,1.3919821977615356,1.3819408416748047,1.3914011716842651,1.3914011716842651,0
2021-04-07,109.78299713134766,109.93499755859375,109.59200286865234,109.79299926757812,109.79299926757812,0,1.1875497102737427,1.1914690732955933,1.1865352392196655,1.1874228715896606,1.1874228715896606,0,1.383068561553955,1.3839681148529053,1.3730227947235107,1.383125901222229,1.383125901222229,0
2021-04-08,109.87799835205078,109.89399719238281,109.0009994506836,109.85199737548828,109.85199737548828,0,1.187197208404541,1.1914832592010498,1.1861833333969116,1.1873664855957031,1.1873664855957031,0,1.3740227222442627,1.3783597946166992,1.372043251991272,1.3743815422058105,1.3743815422058105,0
2021-04-09,109.32499694824219,109.9520034790039,109.22200012207031,109.33000183105469,109.33000183105469,0,1.1915684938430786,1.1923214197158813,1.186859130859375,1.1915684938430786,1.1915684938430786,0,1.3736263513565063,1.3753266334533691,1.3671848773956299,1.373437762260437,1.373437762260437,0
2021-04-12,109.71900177001953,109.76100158691406,109.24700164794922,109.69400024414062,109.69400024414062,0,1.1896406412124634,1.1920371055603027,1.1873382329940796,1.1900511980056763,1.1900511980056763,0,1.3708583116531372,1.3777141571044922,1.3670539855957031,1.3712154626846313,1.3712154626846313,0
2021-04-13,109.37999725341797,109.74700164794922,109.04299926757812,109.3740005493164,109.3740005493164,0,1.191213607788086,1.1953144073486328,1.1884304285049438,1.1914690732955933,1.1914690732955933,0,1.375421166419983,1.376900315284729,1.3702759742736816,1.3753834962844849,1.3753834962844849,0
2021-04-14,108.91699981689453,109.08000183105469,108.76499938964844,108.92400360107422,108.92400360107422,0,1.1957430839538574,1.198193073272705,1.1951857805252075,1.1954143047332764,1.1954143047332764,0,1.3762730360031128,1.38089120388031,1.3750618696212769,1.3759700059890747,1.3759700059890747,0
2021-04-15,108.88600158691406,108.95099639892578,108.625,108.89399719238281,108.89399719238281,0,1.1982362270355225,1.199313998222351,1.1957861185073853,1.1986095905303955,1.1986095905303955,0,1.377790093421936,1.38089120388031,1.3762730360031128,1.3779228925704956,1.3779228925704956,0
2021-04-16,108.65499877929688,108.96099853515625,108.625,108.68900299072266,108.68900299072266,0,1.197074294090271,1.199472188949585,1.1950900554656982,1.1971746683120728,1.1971746683120728,0,1.3784737586975098,1.3827624320983887,1.3718926906585693,1.3785498142242432,1.3785498142242432,0
2021-04-19,108.69400024414062,108.75499725341797,108.00700378417969,108.71900177001953,108.71900177001953,0,1.1968307495117188,1.2048193216323853,1.1943435668945312,1.1969454288482666,1.1969454288482666,0,1.3819408416748047,1.39918851852417,1.381043791770935,1.3818453550338745,1.3818453550338745,0
2021-04-20,108.1050033569336,108.52200317382812,107.9800033569336,108.0979995727539,108.0979995727539,0,1.2043839693069458,1.2081671953201294,1.2028772830963135,1.204529047012329,1.204529047012329,0,1.3992079496383667,1.4009525775909424,1.3935922384262085,1.3993842601776123,1.3993842601776123,0
2021-04-21,108.13200378417969,108.2699966430664,107.89199829101562,108.13300323486328,108.13300323486328,0,1.2032536268234253,1.204529047012329,1.2000004053115845,1.2032392024993896,1.2032392024993896,0,1.393728256225586,1.3948947191238403,1.3886960744857788,1.3938837051391602,1.3938837051391602,0
2021-04-22,108.0270004272461,108.18599700927734,107.8239974975586,108.03900146484375,108.03900146484375,0,1.203818440437317,1.2070006132125854,1.2003936767578125,1.2037750482559204,1.2037750482559204,0,1.3932796716690063,1.3950893878936768,1.3828580379486084,1.3931845426559448,1.3931845426559448,0
2021-04-23,107.93599700927734,108.12300109863281,107.47000122070312,107.97799682617188,107.97799682617188,0,1.2017930746078491,1.2077994346618652,1.2013888359069824,1.2014753818511963,1.2014753818511963,0,1.3844088315963745,1.3896608352661133,1.3837192058563232,1.3840255737304688,1.3840255737304688,0
